# cuda-kernel-lab SGEMM results
# generated: 2026-05-28 23:34:12
# gpu: NVIDIA A100-SXM4-80GB
# compute_capability: 8.0
# driver: 12.8
# cuda_runtime: 12.8
# percent_basis: cublas pedantic FP32 (CUBLAS_PEDANTIC_MATH)
# timing: 10 warmup + 50 timed CUDA-event launches
kernel,size,mean_ms,best_ms,gflops_mean,gflops_best,max_abs_err,max_rel_err,pct_cublas_mean,correct
naive,256,0.247361,0.246848,135.650,135.932,1.335e-05,5.818e-07,7.18,true
naive,512,1.434245,1.432896,187.161,187.338,3.242e-05,9.578e-07,2.35,true
naive,1024,8.120932,7.765088,264.438,276.556,7.248e-05,1.432e-06,2.01,true
naive,2048,59.084718,59.051521,290.767,290.930,0.000e+00,0.000e+00,2.01,true
naive,4096,470.572511,470.543488,292.068,292.086,0.000e+00,0.000e+00,1.65,true
coalesced,256,0.028380,0.028128,1182.347,1192.919,1.335e-05,5.818e-07,62.60,true
coalesced,512,0.165843,0.165216,1618.610,1624.755,3.242e-05,9.578e-07,20.30,true
coalesced,1024,1.059453,1.058720,2026.973,2028.377,7.248e-05,1.432e-06,15.40,true
coalesced,2048,7.154544,6.559424,2401.253,2619.112,0.000e+00,0.000e+00,16.59,true
coalesced,4096,53.392864,53.369823,2574.107,2575.218,0.000e+00,0.000e+00,14.53,true
smem_tiled,256,0.018474,0.018368,1816.282,1826.787,1.335e-05,5.818e-07,96.16,true
smem_tiled,512,0.081556,0.081088,3291.431,3310.422,3.242e-05,9.578e-07,41.27,true
smem_tiled,1024,0.510368,0.509760,4207.716,4212.735,7.248e-05,1.432e-06,31.98,true
smem_tiled,2048,3.869999,3.865920,4439.243,4443.928,0.000e+00,0.000e+00,30.67,true
smem_tiled,4096,25.424762,25.418207,5405.713,5407.107,0.000e+00,0.000e+00,30.51,true
1d_blocktile,256,0.034806,0.034336,964.031,977.238,1.335e-05,5.818e-07,51.04,true
1d_blocktile,512,0.075441,0.075200,3558.204,3569.620,3.242e-05,9.578e-07,44.62,true
1d_blocktile,1024,0.334652,0.333632,6417.074,6436.684,7.248e-05,1.432e-06,48.77,true
1d_blocktile,2048,2.068404,1.933984,8305.856,8883.149,0.000e+00,0.000e+00,57.39,true
1d_blocktile,4096,13.342614,13.234592,10300.751,10384.827,0.000e+00,0.000e+00,58.13,true
2d_blocktile,256,0.076262,0.075616,439.987,443.748,1.335e-05,5.818e-07,23.29,true
2d_blocktile,512,0.164355,0.163808,1633.264,1638.720,3.242e-05,9.578e-07,20.48,true
2d_blocktile,1024,0.315726,0.314272,6801.730,6833.201,7.248e-05,1.432e-06,51.69,true
2d_blocktile,2048,1.698433,1.695456,10115.131,10132.890,0.000e+00,0.000e+00,69.89,true
2d_blocktile,4096,8.850218,8.838304,15529.442,15550.377,0.000e+00,0.000e+00,87.64,true
cublas,256,0.017764,0.017152,1888.850,1956.298,0.000e+00,0.000e+00,100.00,true
cublas,512,0.033661,0.033056,7974.568,8120.628,0.000e+00,0.000e+00,100.00,true
cublas,1024,0.163194,0.162592,13159.065,13207.807,0.000e+00,0.000e+00,100.00,true
cublas,2048,1.187048,1.185664,14472.771,14489.660,0.000e+00,0.000e+00,100.00,true
cublas,4096,7.756140,7.224928,17720.021,19022.882,0.000e+00,0.000e+00,100.00,true
cublas_tf32,256,0.015037,0.014528,2231.393,2309.639,5.711e-03,2.488e-04,118.14,true
cublas_tf32,512,0.019000,0.018432,14128.420,14563.555,8.922e-03,2.635e-04,177.17,true
cublas_tf32,1024,0.045360,0.044384,47343.114,48384.186,1.369e-02,2.704e-04,359.78,false
cublas_tf32,2048,0.210735,0.210080,81523.429,81777.748,2.275e-02,2.817e-04,563.29,false
cublas_tf32,4096,1.245791,1.239136,110322.609,110915.150,2.822e-02,2.319e-04,622.59,false
